billionaire_id,display_name,net_worth,country,wealth_rank,age,residence,citizenship,children,is_self_made,geometry,first_name,middle_name,last_name,suffix,city_of_residence,state_of_residence,longitude,latitude
34,Wang Wei,39.0,China,35,50.0,"Shenzhen, China",China,,True,POINT (114.0543297 22.555454),Wang,,Wei,,Shenzhen,,114.0543297,22.555454
35,Miriam Adelson,38.2,United States,36,75.0,"Las Vegas, Nevada",United States,5.0,False,POINT (-115.148516 36.1672559),Miriam,,Adelson,,Las Vegas,Nevada,-115.148516,36.1672559
36,He Xiangjian,37.7,China,37,78.0,"Foshan, China",China,3.0,True,POINT (113.1146335 23.0247687),He,,Xiangjian,,Foshan,,113.1146335,23.0247687
37,Dieter Schwarz,36.9,Germany,38,81.0,"Neckarsulm, Germany",Germany,2.0,False,POINT (9.224944300000001 49.191735),Dieter,,Schwarz,,Neckarsulm,,9.224944300000001,49.191735
38,Zhang Yiming,35.6,China,39,37.0,"Beijing, China",China,,True,POINT (116.3912757 39.906217),Zhang,,Yiming,,Beijing,,116.3912757,39.906217
39,Giovanni Ferrero,35.1,Italy,40,56.0,"Brussels, Belgium",Italy,2.0,False,POINT (4.351697 50.8465573),Giovanni,,Ferrero,,Brussels,,4.351697,50.8465573
40,Alain Wertheimer,34.5,France,41,72.0,"New York, New York",France,3.0,False,POINT (-74.00601519999999 40.7127281),Alain,,Wertheimer,,New York,,-74.00601519999999,40.7127281
41,Gerard Wertheimer,34.5,France,41,70.0,"New York, New York",France,2.0,False,POINT (-74.00601519999999 40.7127281),Gerard,,Wertheimer,,New York,,-74.00601519999999,40.7127281
42,Li Ka-shing,33.7,Hong Kong,43,92.0,Hong Kong,Hong Kong,2.0,True,POINT (114.1628131 22.2793278),Li,,Ka-shing,,Hong Kong,,114.1628131,22.2793278
43,Qin Yinglin,33.5,China,44,56.0,"Nanyang, China",China,,True,POINT (112.5292693 33.0010496),Qin,,Yinglin,,Nanyang,,112.5292693,33.0010496
44,William Lei Ding,33.0,China,45,49.0,"Hangzhou, China",China,,True,POINT (120.2052342 30.2489634),William,Lei,Ding,,Hangzhou,,120.2052342,30.2489634
